4294967173	42     	        123	        123
0000000324	Ben    	123-1231231	13023234234
0000001223	Derolol	89-23123232	13143243243
0000000023	Derolol	89-12313212	13123423422
0000000324	Liang  	80-12323123	12312312311
0000000012	bear   	13024728472	89-28374282
0000000003	belly  	13902838425	88-74298342
0000000013	cherry 	13738721192	70-84726311
0000000005	cici   	13802849382	89-23487234
0000000001	derolol	13702900624	90-83473622
0000012332	derolol	13702900624	89-32842743
0000000009	emma   	13087261126	89-82736234
0000000011	king   	13922748872	89-82736482
0000000006	kitty  	13702934721	89-83746211
0000000014	lee    	13820428333	33-81723894
1345294336	li     	13729499273	99-83766273
0000000002	sally  	18327482734	90-83742342
0000000007	thiele 	13702900624	89-23382744
0000000004	tidy   	13902837482	89-92837463
0000000010	tidy   	19281237384	88-82637462
0000000008	wendy  	13902734677	29-84736299
